"","MS1","MS2","MS3","MS4","MS5","MS6","MS7","MS8","MS9","MS10","MS11","MS12","MS13","Gender","Age","Major","School","Year","Courses_enrolled","Courses_shopped","Courses_considered","Limit","Time1","Time2","Info1","Happy1","External1","External2","Happy2","Certain","Shop","PHappy","Info2","MTS1","MTS2","MTS3","MTS4","MTS5","MTS6","MTS7","MTS8","MTS9","Happy","Time","ID"
"1",1,5,2,5,5,5,6,5,1,1,6,3,5,"Female",21,"Psych ","GS","Sophmore",6.5,7.5,10.5,6,6,2,6,6,5,7,6,6,2,6,2,6,6,3,4,3,2,5,5,3,6,6,1
"2",7,2,4,4,7,3,5,3,6,4,4,4,4,"Female",20,"Psychology","CC","Junior",5,0,15,7,5,3,7,3,4,7,2,3,2,4,3,3,4,3,4,2,3,4,3,3,2.5,5,2
"3",2,2,2,2,7,2,2,2,2,2,4,3,6,"Female",20,"Psychology","CC","Junior",5,5,5,5,5,5,5,5,3,5,3,6,3,2,2,4,3,4,4,3,3,3,6,2,4,4,3
"4",2,4,2,4,4,2,2,6,5,3,6,6,5,"Male",34,"Psychology","GS","Junior",4,4,6,7,6,2,3,4,7,2,4,2,4,3,3,6,6,5,6,4,5,6,4,4,4,6,4
"5",2,3,4,2,2,2,5,4,3,3,6,3,4,"Female",23,"Psychology","GS","Junior",4,7,8,6,6,2,5,6,6,6,6,6,1,1,3,3,3,3,5,2,2,3,3,1,6,6,5
"6",2,5,7,2,3,5,3,1,1,2,7,7,5,"Female",20,"Psychology ","CC","Junior",4,4,6,6,7,5,7,5,7,7,5,5,2,6,4,5,7,6,7,5,6,4,6,6,5,5,6
"7",1,3,3,2,3,4,5,6,5,6,3,2,3,"Male",22,"Neuroscience and Behavior","GS","Senior",5,7,15,2,7,2,1,2,5,3,3,1,1,4,2,4,2,5,4,2,1,6,3,3,2.5,6.5,7
"8",2,5,2,4,5,3,6,6,6,6,5,6,7,"Male",21,"Psychology","GS","Junior",5,5,8,7,7,1,5,3,2,5,4,5,4,6,7,7,6,7,6,5,4,6,6,4,3.5,7,8
"9",5,5,2,5,7,5,3,6,5,5,5,6,5,"Male",21,"Econ","CC","Junior",4,4,8,6,6,1,7,7,7,7,7,7,5,4,7,5,4,5,2,6,5,5,5,4,7,6.5,9
"10",4,4,3,6,6,5,3,3,2,3,5,4,4,"Female",25,"Psychology","GS","Senior",3,4,4,5,6,3,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,5.5,10
"11",7,1,2,5,5,6,3,6,1,5,6,4,3,"Female",19,"Psychology","GS","Junior",5,6,7,6,6,6,3,4,1,1,2,6,6,7,3,6,3,3,5,6,3,7,5,3,3,4,11
"12",4,4,4,5,4,3,4,3,4,4,4,4,5,"Female",21,"Neuroscience","GS","Junior",2,4,3,5,4,3,5,7,5,7,5,5,7,3,5,5,7,5,6,6,5,7,6,5,6,4.5,12
"13",1,1,3,4,2,3,3,5,4,1,7,6,7,"Female",20,"Psychology and Creative Writing","CC","Junior",5,5,7,6,6,2,2,6,1,3,4,2,7,2,2,5,7,7,7,5,7,7,7,7,5,6,13
"14",6,4,5,2,7,7,1,2,4,7,5,5,6,"Male",27,"Psychology","GS","Senior",4,4,7,7,6,4,1,3,1,1,3,2,7,2,1,6,4,5,5,6,6,7,7,5,3,5,14
"15",1,3,3,2,3,4,2,1,5,1,5,2,5,"Female",23,"Psychology Certificate ","School of Professional Studies","Post-Bac",2,2,10,5,7,2,1,1,4,4,1,1,6,3,1,7,7,7,6,3,5,7,7,2,1,6.5,15
"16",2,3,2,4,6,4,1,2,3,4,5,5,5,"Female",31,"Graduate Foundations","School of Professional Studies","First-Year",2,2,4,6,5,4,5,6,3,3,6,6,3,4,5,5,4,4,5,3,3,5,4,3,6,4.5,16
"17",4,5,5,5,4,3,4,4,2,2,7,5,3,"Female",19,"psychology","CC","Sophmore",5,6,6,5,6,3,2,2,1,1,2,4,3,7,4,7,6,5,7,5,4,5,6,4,2,5.5,17
