id,CRT1,CRT2,CRT3,CRT_total,maxi1,maxi2,maxi3,maxi4,maxi5,maxi6,regret1,regret2,regret3,regret4,regret5,courses_enrolled,courses_shopped,points_enrolled,time_planning,courses_satisfaction,dec_mode,process_regret,outcome_regret,regret_general,maxi_general,psych_courses,age,birthyear,class,school,gender,handed,major,concentration,reader,programs
1,5,5,47,3,6,2,2,6,6,5,2,5,5,3,2,6,7,15,more than 9 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,5,3,5,4,23,1994,Senior,CC,M,R,Psychology,Pre-Med,0,1
2,5,5,47,3,4,2,2,6,4,5,4,3,2,2,3,5,8,18,5-7 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,2,5,5,19,1998,Junior,CC,F,R,Psychology,"Business Management, Hispanic Studies",1,3
3,10,100,47,1,4,2,6,6,2,2,6,2,3,4,2,3,2,7,5-7 hours,2,"role-based decision mode (e.g., taking what a Psychology major ought to take)",3,2,5,2,5,38,1980,Senior,GS,F,R,Psychology,Psychology,0,1
4,10,100,47,1,2,6,6,5,7,5,6,7,6,6,5,5,5,16,5-7 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,2,5,7,22,1995,Senior,GS,F,R,Psychology,None,0,1
5,10,100,24,0,7,5,6,7,3,4,2,4,2,3,2,5,7,13,3-5 hours,3,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,1,6,3,NA,NA,Senior,GS,F,A,Psychology,Psychology,1,1
6,5,5,47,3,4,2,5,6,1,5,2,2,2,2,2,3,4,12,1-3 hours,2,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,3,1,5,10,23,1995,Senior,GS,F,R,Psychology,None,0,1
7,5,5,47,3,1,2,2,7,1,3,2,5,5,2,2,6,7,16,7-9 hours,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,4,6,4,34,1984,Junior,GS,F,R,Neuroscience & Behavior,None,1,1
8,10,100,47,1,5,1,3,6,4,6,5,4,4,3,5,1,2,4,5-7 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,2,6,10,28,1990,Post-bac,SPS,F,R,Psychology,Psychology,1,1
9,10,5,47,2,7,1,7,7,1,5,7,6,6,1,6,4,4,15,3-5 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,2,2,5,1,19,1999,Sophomore,CC,M,R,Psychology,None,0,1
10,105,5,47,2,7,7,6,7,4,3,6,6,7,6,6,3,4,12,1-3 hours,3,"rule-based decision mode (e.g., ""I'll take whatever seminar Professor X is offering"")",1,4,4,4,5,25,1993,Junior,GS,Transman,R,Psychology,None,0,1
11,5,5,47,3,4,4,5,7,6,7,6,6,5,6,5,6,9,16.5,3-5 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,2,6,2,20,1998,Junior,CC,M,L,Psychology,Pre-Med,1,2
12,5,100,47,2,6,6,6,4,7,3,7,6,6,6,6,2,5,11,more than 9 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,2,4,5,7,25,1993,Post-bac,Continuing Ed.,F,L,Psychology,None,0,1
13,5,5,47,3,6,4,5,4,7,5,6,4,4,5,5,6,7,19,3-5 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,3,3,1,20,1997,Junior,CC,F,R,"Psychology, Comparative Literature & Society",,1,2
14,5,5,47,3,4,2,1,6,5,4,1,1,2,1,5,5,7,18,3-5 hours,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",3,2,1,3,6,22,1996,Senior,Barnard,F,R,Psychology,None,0,1
15,5,5,47,3,3,5,2,5,2,2,6,4,5,3,4,5,9,16,3-5 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,2,4,3,4,20,1997,Junior,CC,F,R,"Psychology, Computer Science",None,1,2
16,50,5,30,1,4,7,7,5,5,3,5,6,3,5,5,4,6,14,more than 9 hours,4,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",4,3,5,5,3,33,1985,Senior,GS,NA,R,Psychology,None,0,1
17,105,5,47,2,5,4,6,5,2,4,7,7,3,5,5,5,6,15,1-3 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,4,5,5,20,1997,Senior,CC,F,R,Psychology,None,0,1
18,5,100,47,2,6,6,4,6,2,6,6,7,2,5,4,4,5,17,1-3 hours,5,"calculation-based decision mode (e.g., weighing pros and cons of each course against one another)",1,1,2,5,3,19,1998,Junior,CC,M,R,Psychology,Business Management,0,2
19,10,100,24,0,7,3,7,7,5,2,5,1,5,1,2,4,5,13,more than 9 hours,4,"affect-based decision mode (e.g., ""going with your gut"")",1,1,1,6,4,24,1994,Junior,GS,F,R,Psychology,None,1,1
20,10,100,24,0,3,5,4,3,6,5,4,4,2,6,6,4,4,15,3-5 hours,5,"role-based decision mode (e.g., taking what a Psychology major ought to take)",1,1,3,3,1,19,1999,Sophomore,CC,F,R,Psychology,Business Management,0,2
21,5,5,47,3,6,2,7,7,7,7,5,3,6,5,5,5,6,15,3-5 hours,4,"role-based decision mode (e.g., taking what a Psychology major ought to take)",2,2,5,5,2,18,2000,Sophomore,CC,F,R,Psychology,Human Rights,0,2
22,10,5,47,2,3,3,2,4,3,4,4,4,2,2,3,5,10,16,1-3 hours,2,"affect-based decision mode (e.g., ""going with your gut"")",5,3,2,2,3,20,1998,Junior,CC,F,R,Psychology,Middle Eastern studies,0,2
23,10,100,47,1,4,7,5,6,6,4,5,5,6,5,5,5,5,17,more than 9 hours,5,"affect-based decision mode (e.g., ""going with your gut"")",2,2,2,3,3,21,1996,Senior,CC,F,R,Psychology,None,1,1
24,10,100,24,0,5,4,6,2,6,6,6,5,6,5,6,4,4,15,5-7 hours,3,"role-based decision mode (e.g., taking what a Psychology major ought to take)",4,4,4,6,4,21,1997,Junior,CC,F,R,Psychology,None,0,1
